
natural spline
             x          Natural CS          N_Error(%) 
       2.390000       21.6604271000        0.0000000000
       2.400000       21.7616000000        0.0000000000
       2.410000       21.8634689000        0.0000000000
       2.420000       21.9660392000        0.0000000000
       2.430000       22.0693163000        0.0000000000
       2.440000       22.1733056000        0.0000000000
       2.450000       22.2780125000        0.0000000000
       2.460000       22.3834424000        0.0000000000
       2.470000       22.4896007000        0.0000000000
       2.480000       22.5964928000        0.0000000000
       2.490000       22.7041241000        0.0000000000
       2.500000       22.8125000000        0.0000000000
       2.510000       22.9216259000        0.0000000000
       2.520000       23.0315072000        0.0000000000
       2.530000       23.1421493000        0.0000000000
       2.540000       23.2535576000        0.0000000000
       2.550000       23.3657375000        0.0000000000
       2.560000       23.4786944000        0.0000000000
       2.570000       23.5924337000        0.0000000000
       2.580000       23.7069608000        0.0000000000
       2.590000       23.8222811000        0.0000000000
       2.600000       23.9384000000        0.0000000000
       2.610000       24.0553229000        0.0000000000
       2.620000       24.1730552000        0.0000000000
       2.630000       24.2916023000        0.0000000000
       2.640000       24.4109696000        0.0000000000
       2.650000       24.5311625000        0.0000000000
       2.660000       24.6521864000        0.0000000000
       2.670000       24.7740467000        0.0000000000
       2.680000       24.8967488000        0.0000000000
       2.690000       25.0202981000        0.0000000000
       2.700000       25.1447000000        0.0000000000
       2.710000       25.2699599000        0.0000000000
       2.720000       25.3960832000        0.0000000000
       2.730000       25.5230753000        0.0000000000
       2.740000       25.6509416000        0.0000000000
       2.750000       25.7796875000        0.0000000000
       2.760000       25.9093184000        0.0000000000
       2.770000       26.0398397000        0.0000000000
       2.780000       26.1712568000        0.0000000000
       2.790000       26.3035751000        0.0000000000
       2.800000       26.4368000000        0.0000000000
       2.810000       26.5709369000        0.0000000000
       2.820000       26.7059912000        0.0000000000
       2.830000       26.8419683000        0.0000000000
       2.840000       26.9788736000        0.0000000000
       2.850000       27.1167125000        0.0000000000
       2.860000       27.2554904000        0.0000000000
       2.870000       27.3952127000        0.0000000000
       2.880000       27.5358848000        0.0000000000
       2.890000       27.6775121000        0.0000000000
       2.900000       27.8201000000        0.0000000000
       2.910000       27.9636539000        0.0000000000
       2.920000       28.1081792000        0.0000000000
       2.930000       28.2536813000        0.0000000000
       2.940000       28.4001656000        0.0000000000
       2.950000       28.5476375000        0.0000000000
       2.960000       28.6961024000        0.0000000000
       2.970000       28.8455657000        0.0000000000
       2.980000       28.9960328000        0.0000000000
       2.990000       29.1475091000        0.0000000000
       3.000000       29.3000000000        0.0000000000
       3.010000       29.4535109000        0.0000000000
       3.020000       29.6080472000        0.0000000000
       3.030000       29.7636143000        0.0000000000
       3.040000       29.9202176000        0.0000000000
       3.050000       30.0778625000        0.0000000000
       3.060000       30.2365544000        0.0000000000
       3.070000       30.3962987000        0.0000000000
       3.080000       30.5571008000        0.0000000000
       3.090000       30.7189661000        0.0000000000
       3.100000       30.8819000000        0.0000000000
       3.110000       31.0459079000        0.0000000000
       3.120000       31.2109952000        0.0000000000
       3.130000       31.3771673000        0.0000000000
       3.140000       31.5444296000        0.0000000000
       3.150000       31.7127875000        0.0000000000
       3.160000       31.8822464000        0.0000000000
       3.170000       32.0528117000        0.0000000000
       3.180000       32.2244888000        0.0000000000
       3.190000       32.3972831000        0.0000000000
       3.200000       32.5712000000        0.0000000000
       3.210000       32.7462449000        0.0000000000
       3.220000       32.9224232000        0.0000000000
       3.230000       33.0997403000        0.0000000000
       3.240000       33.2782016000        0.0000000000
       3.250000       33.4578125000        0.0000000000
       3.260000       33.6385784000        0.0000000000
       3.270000       33.8205047000        0.0000000000
       3.280000       34.0035968000        0.0000000000
       3.290000       34.1878601000        0.0000000000
       3.300000       34.3733000000        0.0000000000
       3.310000       34.5599219000        0.0000000000
       3.320000       34.7477312000        0.0000000000
       3.330000       34.9367333000        0.0000000000
       3.340000       35.1269336000        0.0000000000
       3.350000       35.3183375000        0.0000000000
       3.360000       35.5109504000        0.0000000000
       3.370000       35.7047777000        0.0000000000
       3.380000       35.8998248000        0.0000000000
       3.390000       36.0960971000        0.0000000000
       3.400000       36.2936000000        0.0000000000
       3.410000       36.4923389000        0.0000000000
       3.420000       36.6923192000        0.0000000000
       3.430000       36.8935463000        0.0000000000
       3.440000       37.0960256000        0.0000000000
       3.450000       37.2997625000        0.0000000000
       3.460000       37.5047624000        0.0000000000
       3.470000       37.7110307000        0.0000000000
       3.480000       37.9185728000        0.0000000000
       3.490000       38.1273941000        0.0000000000
       3.500000       38.3375000000        0.0000000000
       3.510000       38.5488959000        0.0000000000
       3.520000       38.7615872000        0.0000000000
       3.530000       38.9755793000        0.0000000000
       3.540000       39.1908776000        0.0000000000
       3.550000       39.4074875000        0.0000000000
       3.560000       39.6254144000        0.0000000000
       3.570000       39.8446637000        0.0000000000
       3.580000       40.0652408000        0.0000000000
       3.590000       40.2871511000        0.0000000000
       3.600000       40.5104000000        0.0000000000
       3.610000       40.7349929000        0.0000000000
       3.620000       40.9609352000        0.0000000000
       3.630000       41.1882323000        0.0000000000
       3.640000       41.4168896000        0.0000000000
       3.650000       41.6469125000        0.0000000000
       3.660000       41.8783064000        0.0000000000
       3.670000       42.1110767000        0.0000000000
       3.680000       42.3452288000        0.0000000000
       3.690000       42.5807681000        0.0000000000
       3.700000       42.8177000000        0.0000000000
       3.710000       43.0560299000        0.0000000000
       3.720000       43.2957632000        0.0000000000
       3.730000       43.5369053000        0.0000000000
       3.740000       43.7794616000        0.0000000000
       3.750000       44.0234375000        0.0000000000
       3.760000       44.2688384000        0.0000000000
       3.770000       44.5156697000        0.0000000000
       3.780000       44.7639368000        0.0000000000
       3.790000       45.0136451000        0.0000000000
       3.800000       45.2648000000        0.0000000000
       3.810000       45.5174069000        0.0000000000
       3.820000       45.7714712000        0.0000000000
       3.830000       46.0269983000        0.0000000000
       3.840000       46.2839936000        0.0000000000
       3.850000       46.5424625000        0.0000000000
       3.860000       46.8024104000        0.0000000000
       3.870000       47.0638427000        0.0000000000
       3.880000       47.3267648000        0.0000000000
       3.890000       47.5911821000        0.0000000000
       3.900000       47.8571000000        0.0000000000
       3.910000       48.1245239000        0.0000000000
       3.920000       48.3934592000        0.0000000000
       3.930000       48.6639113000        0.0000000000
       3.940000       48.9358856000        0.0000000000
       3.950000       49.2093875000        0.0000000000
       3.960000       49.4844224000        0.0000000000
       3.970000       49.7609957000        0.0000000000
       3.980000       50.0391128000        0.0000000000
       3.990000       50.3187791000        0.0000000000
       4.000000       50.6000000000        0.0000000000
       4.010000       50.8827809000        0.0000000000
       4.020000       51.1671272000        0.0000000000
       4.030000       51.4530443000        0.0000000000
       4.040000       51.7405376000        0.0000000000
       4.050000       52.0296125000        0.0000000000
       4.060000       52.3202744000        0.0000000000
       4.070000       52.6125287000        0.0000000000
       4.080000       52.9063808000        0.0000000000
       4.090000       53.2018361000        0.0000000000
       4.100000       53.4989000000        0.0000000000
       4.110000       53.7975779000        0.0000000000
       4.120000       54.0978752000        0.0000000000
       4.130000       54.3997973000        0.0000000000
       4.140000       54.7033496000        0.0000000000
       4.150000       55.0085375000        0.0000000000
       4.160000       55.3153664000        0.0000000000
       4.170000       55.6238417000        0.0000000000
       4.180000       55.9339688000        0.0000000000
       4.190000       56.2457531000        0.0000000000
       4.200000       56.5592000000        0.0000000000
       4.210000       56.8743149000        0.0000000000
       4.220000       57.1911032000        0.0000000000
       4.230000       57.5095703000        0.0000000000
       4.240000       57.8297216000        0.0000000000
       4.250000       58.1515625000        0.0000000000
       4.260000       58.4750984000        0.0000000000
       4.270000       58.8003347000        0.0000000000
       4.280000       59.1272768000        0.0000000000
       4.290000       59.4559301000        0.0000000000
       4.300000       59.7863000000        0.0000000000
       4.310000       60.1183919000        0.0000000000
       4.320000       60.4522112000        0.0000000000
       4.330000       60.7877633000        0.0000000000
       4.340000       61.1250536000        0.0000000000
       4.350000       61.4640875000        0.0000000000
       4.360000       61.8048704000        0.0000000000
       4.370000       62.1474077000        0.0000000000
       4.380000       62.4917048000        0.0000000000
       4.390000       62.8377671000        0.0000000000
       4.400000       63.1856000000        0.0000000000
       4.410000       63.5352089000        0.0000000000
       4.420000       63.8865992000        0.0000000000
       4.430000       64.2397763000        0.0000000000
       4.440000       64.5947456000        0.0000000000
       4.450000       64.9515125000        0.0000000000
       4.460000       65.3100824000        0.0000000000
       4.470000       65.6704607000        0.0000000000
       4.480000       66.0326528000        0.0000000000
       4.490000       66.3966641000        0.0000000000
       4.500000       66.7625000000        0.0000000000
       4.510000       67.1301659000        0.0000000000
       4.520000       67.4996672000        0.0000000000
       4.530000       67.8710093000        0.0000000000
       4.540000       68.2441976000        0.0000000000
       4.550000       68.6192375000        0.0000000000
       4.560000       68.9961344000        0.0000000000
       4.570000       69.3748937000        0.0000000000
       4.580000       69.7555208000        0.0000000000
       4.590000       70.1380211000        0.0000000000
       4.600000       70.5224000000        0.0000000000
       4.610000       70.9086629000        0.0000000000
       4.620000       71.2968152000        0.0000000000
       4.630000       71.6868623000        0.0000000000
       4.640000       72.0788096000        0.0000000000
       4.650000       72.4726625000        0.0000000000
       4.660000       72.8684264000        0.0000000000
       4.670000       73.2661067000        0.0000000000
