             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.91       0.646983       0.018548       0.647108       0.000740       0.647104       0.000049
           1.92       0.652113       0.032596       0.652334       0.001422       0.652326       0.000088
           1.93       0.657242       0.042297       0.657533       0.001995       0.657521       0.000118
           1.94       0.662371       0.047797       0.662704       0.002428       0.662689       0.000143
           1.95       0.667501       0.049235       0.667813       0.002387       0.667830       0.000148
           1.96       0.672630       0.046745       0.672930       0.002113       0.672945       0.000136
           1.97       0.677759       0.040464       0.678022       0.001706       0.678034       0.000114
           1.98       0.682889       0.030497       0.683089       0.001188       0.683097       0.000086
           1.99       0.688018       0.016971       0.688130       0.000600       0.688135       0.000050
           2.00       0.693147       0.000002       0.693147       0.000002       0.693147       0.000002
           2.01       0.698026       0.015546       0.698139       0.000590       0.698135       0.000036
           2.02       0.702905       0.027354       0.703105       0.001131       0.703098       0.000071
           2.03       0.707784       0.035527       0.708047       0.001597       0.708036       0.000099
           2.04       0.712663       0.040194       0.712964       0.001942       0.712951       0.000111
           2.05       0.717542       0.041443       0.717826       0.001910       0.717841       0.000116
           2.06       0.722421       0.039391       0.722694       0.001692       0.722707       0.000106
           2.07       0.727300       0.034130       0.727539       0.001368       0.727549       0.000099
           2.08       0.732179       0.025744       0.732361       0.000945       0.732368       0.000072
           2.09       0.737058       0.014340       0.737161       0.000482       0.737164       0.000044
           2.10       0.741937       0.000001       0.741937       0.000001       0.741937       0.000009
           2.11       0.746589       0.013201       0.746692       0.000481       0.746688       0.000034
           2.12       0.751241       0.023248       0.751423       0.000922       0.751417       0.000057
           2.13       0.755893       0.030236       0.756132       0.001288       0.756123       0.000082
           2.14       0.760545       0.034241       0.760818       0.001571       0.760806       0.000082
           2.15       0.765197       0.035337       0.765456       0.001558       0.765468       0.000085
           2.16       0.769849       0.033620       0.770097       0.001391       0.770109       0.000087
           2.17       0.774501       0.029150       0.774718       0.001122       0.774728       0.000063
           2.18       0.779153       0.022016       0.779319       0.000785       0.779325       0.000049
           2.19       0.783805       0.012275       0.783898       0.000405       0.783902       0.000020
           2.20       0.788457       0.000002       0.788457       0.000009       0.788457       0.000002
           2.21       0.792902       0.011354       0.792996       0.000379       0.792993       0.000019
           2.22       0.797348       0.020002       0.797513       0.000745       0.797508       0.000043
           2.23       0.801793       0.026024       0.802010       0.001051       0.802002       0.000055
           2.24       0.806238       0.029486       0.806486       0.001282       0.806476       0.000055
           2.25       0.810683       0.030453       0.810920       0.001295       0.810931       0.000065
           2.26       0.815128       0.028995       0.815355       0.001150       0.815365       0.000063
           2.27       0.819574       0.025158       0.819772       0.000924       0.819780       0.000057
           2.28       0.824019       0.019007       0.824170       0.000645       0.824176       0.000042
           2.29       0.828464       0.010608       0.828549       0.000328       0.828552       0.000017
           2.30       0.832909       0.000000       0.832909       0.000000       0.832909       0.000000
           2.31       0.837165       0.009848       0.837250       0.000325       0.837248       0.000019
           2.32       0.841421       0.017361       0.841572       0.000622       0.841567       0.000034
           2.33       0.845677       0.022615       0.845876       0.000878       0.845869       0.000046
           2.34       0.849933       0.025636       0.850160       0.001069       0.850151       0.000045
           2.35       0.854189       0.026497       0.854406       0.001083       0.854416       0.000054
           2.36       0.858445       0.025241       0.858653       0.000960       0.858662       0.000047
           2.37       0.862701       0.021924       0.862883       0.000773       0.862890       0.000042
           2.38       0.866957       0.016580       0.867096       0.000543       0.867101       0.000028
           2.39       0.871213       0.009254       0.871291       0.000279       0.871293       0.000008
           2.40       0.875469       0.000006       0.875469       0.000006       0.875469       0.000006
           2.41       0.879551       0.008624       0.879629       0.000266       0.879627       0.000009
           2.42       0.883633       0.015213       0.883772       0.000515       0.883768       0.000022
           2.43       0.887715       0.019818       0.887898       0.000730       0.887892       0.000032
           2.44       0.891798       0.022476       0.892006       0.000898       0.891998       0.000036
           2.45       0.895880       0.023248       0.896080       0.000905       0.896088       0.000046
           2.46       0.899962       0.022150       0.900154       0.000809       0.900162       0.000045
           2.47       0.904044       0.019242       0.904212       0.000653       0.904218       0.000033
           2.48       0.908126       0.014555       0.908254       0.000452       0.908259       0.000027
           2.49       0.912208       0.008133       0.912281       0.000234       0.912283       0.000021
           2.50       0.916291       0.000002       0.916291       0.000005       0.916291       0.000005
           2.51       0.920213       0.007599       0.920285       0.000231       0.920283       0.000011
           2.52       0.924135       0.013420       0.924263       0.000445       0.924259       0.000026
           2.53       0.928057       0.017489       0.928225       0.000626       0.928220       0.000035
           2.54       0.931979       0.019847       0.932171       0.000768       0.932164       0.000039
           2.55       0.935901       0.020536       0.936086       0.000766       0.936094       0.000037
           2.56       0.939823       0.019584       0.940001       0.000682       0.940008       0.000034
           2.57       0.943745       0.017018       0.943901       0.000549       0.943906       0.000038
           2.58       0.947667       0.012875       0.947786       0.000379       0.947790       0.000030
           2.59       0.951589       0.007193       0.951656       0.000191       0.951658       0.000016
           2.60       0.955511       0.000002       0.955511       0.000002       0.955511       0.000002
           2.61       0.959285       0.006745       0.959352       0.000201       0.959350       0.000015
           2.62       0.963060       0.011915       0.963178       0.000382       0.963175       0.000023
           2.63       0.966834       0.015537       0.966989       0.000532       0.966984       0.000027
           2.64       0.970608       0.017648       0.970785       0.000655       0.970779       0.000029
           2.65       0.974382       0.018265       0.974553       0.000663       0.974560       0.000028
           2.66       0.978156       0.017421       0.978320       0.000594       0.978326       0.000034
           2.67       0.981930       0.015151       0.982074       0.000470       0.982079       0.000022
           2.68       0.985704       0.011470       0.985813       0.000333       0.985817       0.000018
           2.69       0.989478       0.006416       0.989540       0.000169       0.989541       0.000011
           2.70       0.993252       0.000004       0.993252       0.000002       0.993252       0.000004
           2.71       0.996889       0.006029       0.996950       0.000171       0.996949       0.000010
           2.72       1.000525       0.010644       1.000635       0.000316       1.000632       0.000018
           2.73       1.004162       0.013892       1.004306       0.000458       1.004302       0.000031
           2.74       1.007799       0.015774       1.007964       0.000559       1.007958       0.000027
           2.75       1.011436       0.016337       1.011595       0.000570       1.011601       0.000031
           2.76       1.015072       0.015583       1.015226       0.000506       1.015231       0.000034
           2.77       1.018709       0.013557       1.018843       0.000406       1.018848       0.000027
           2.78       1.022346       0.010271       1.022448       0.000279       1.022451       0.000013
           2.79       1.025983       0.005735       1.026040       0.000147       1.026042       0.000016
           2.80       1.029619       0.000005       1.029619       0.000005       1.029619       0.000005
           2.81       1.033129       0.005406       1.033186       0.000156       1.033185       0.000017
           2.82       1.036638       0.009569       1.036740       0.000285       1.036737       0.000021
           2.83       1.040147       0.012484       1.040281       0.000408       1.040277       0.000018
           2.84       1.043656       0.014183       1.043809       0.000492       1.043804       0.000024
           2.85       1.047165       0.014699       1.047314       0.000494       1.047319       0.000019
           2.86       1.050674       0.014028       1.050817       0.000449       1.050822       0.000016
           2.87       1.054183       0.012214       1.054308       0.000364       1.054312       0.000020
           2.88       1.057693       0.009241       1.057788       0.000259       1.057790       0.000011
           2.89       1.061202       0.005175       1.061255       0.000131       1.061257       0.000004
           2.90       1.064711       0.000001       1.064711       0.000001       1.064711       0.000010
           2.91       1.068101       0.004892       1.068154       0.000130       1.068153       0.000007
