             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.91       0.646630       0.073077       0.646894       0.032401       0.647218       0.017780
           1.92       0.651407       0.140790       0.651920       0.062164       0.652550       0.034453
           1.93       0.656183       0.203320       0.656932       0.089381       0.657849       0.050040
           1.94       0.660959       0.260829       0.661931       0.114166       0.663116       0.064579
           1.95       0.665736       0.313472       0.666917       0.136621       0.668351       0.078046
           1.96       0.670512       0.361427       0.671889       0.156824       0.673553       0.090498
           1.97       0.675289       0.404835       0.676848       0.174893       0.678725       0.101929
           1.98       0.680065       0.443831       0.681793       0.190892       0.683864       0.112359
           1.99       0.684841       0.478574       0.686724       0.204931       0.688973       0.121791
           2.00       0.689618       0.509187       0.691643       0.217075       0.694050       0.130253
           2.01       0.694394       0.535799       0.696547       0.227400       0.699096       0.137757
           2.02       0.699170       0.558533       0.701438       0.235992       0.704112       0.144315
           2.03       0.703947       0.577507       0.706316       0.242912       0.709097       0.149936
           2.04       0.708723       0.592826       0.711180       0.248240       0.714052       0.154651
           2.05       0.713500       0.604608       0.716031       0.252032       0.718977       0.158460
           2.06       0.718276       0.612967       0.720868       0.254352       0.723872       0.161376
           2.07       0.723052       0.617995       0.725691       0.255271       0.728738       0.163425
           2.08       0.727829       0.619790       0.730502       0.254838       0.733573       0.164611
           2.09       0.732605       0.618445       0.735298       0.253118       0.738380       0.164943
           2.10       0.737381       0.614051       0.740081       0.250167       0.743157       0.164450
           2.11       0.742158       0.606687       0.744851       0.246020       0.747906       0.163133
           2.12       0.746934       0.596453       0.749607       0.240760       0.752626       0.161011
           2.13       0.751711       0.583413       0.754350       0.234404       0.757317       0.158104
           2.14       0.756487       0.567662       0.759079       0.227006       0.761981       0.154412
           2.15       0.761263       0.549267       0.763794       0.218620       0.766616       0.149947
           2.16       0.766040       0.528300       0.768497       0.209274       0.771223       0.144736
           2.17       0.770816       0.504832       0.773185       0.199041       0.775802       0.138787
           2.18       0.775593       0.478922       0.777860       0.187929       0.780354       0.132111
           2.19       0.780369       0.450652       0.782522       0.175987       0.784879       0.124719
           2.20       0.785145       0.420069       0.787170       0.163268       0.789377       0.116621
           2.21       0.789922       0.387250       0.791805       0.149791       0.793848       0.107849
           2.22       0.794698       0.352246       0.796426       0.135593       0.798292       0.098399
           2.23       0.799474       0.315113       0.801033       0.120708       0.802710       0.088280
           2.24       0.804251       0.275909       0.805628       0.105175       0.807101       0.077517
           2.25       0.809027       0.234677       0.810208       0.089027       0.811466       0.066113
           2.26       0.813803       0.191486       0.814775       0.072286       0.815806       0.054085
           2.27       0.818580       0.146369       0.819329       0.054990       0.820120       0.041443
           2.28       0.823356       0.099391       0.823869       0.037153       0.824408       0.028211
           2.29       0.828133       0.050591       0.828396       0.018823       0.828671       0.014383
           2.30       0.832909       0.000015       0.832909       0.000015       0.832909       0.000015
           2.31       0.835998       0.149241       0.837409       0.019248       0.837312       0.007743
           2.32       0.839087       0.294701       0.841895       0.038931       0.841698       0.015587
           2.33       0.842176       0.436495       0.846367       0.059019       0.846067       0.023526
           2.34       0.845265       0.574701       0.850827       0.079481       0.850419       0.031532
           2.35       0.848354       0.709399       0.855272       0.100293       0.854754       0.039615
           2.36       0.851443       0.840661       0.859704       0.121448       0.859071       0.047736
           2.37       0.854532       0.968578       0.864123       0.142904       0.863372       0.055896
           2.38       0.857621       1.093209       0.868528       0.164661       0.867656       0.064094
           2.39       0.860710       1.214648       0.872920       0.186677       0.871923       0.072310
           2.40       0.863799       1.332937       0.877298       0.208948       0.876174       0.080543
           2.41       0.866888       1.448165       0.881663       0.231454       0.880408       0.088790
