             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.91       0.942600       0.044549       0.943025       0.000568       0.943019       0.000077
           1.92       0.938900       0.079381       0.939656       0.001115       0.939644       0.000141
           1.93       0.935199       0.104446       0.936192       0.001606       0.936175       0.000189
           1.94       0.931499       0.119659       0.932634       0.001996       0.932613       0.000222
           1.95       0.927799       0.124969       0.928981       0.002253       0.928958       0.000237
           1.96       0.924098       0.120301       0.925233       0.002334       0.925209       0.000223
           1.97       0.920398       0.105558       0.921352       0.002026       0.921369       0.000195
           1.98       0.916698       0.080658       0.917425       0.001442       0.917437       0.000149
           1.99       0.912998       0.045511       0.913407       0.000747       0.913413       0.000081
           2.00       0.909297       0.000003       0.909297       0.000003       0.909297       0.000003
           2.01       0.904689       0.044406       0.905097       0.000757       0.905090       0.000079
           2.02       0.900080       0.079198       0.900807       0.001488       0.900792       0.000146
           2.03       0.895471       0.104280       0.896425       0.002142       0.896404       0.000192
           2.04       0.890862       0.119572       0.891952       0.002668       0.891927       0.000226
           2.05       0.886253       0.124980       0.887389       0.003007       0.887360       0.000244
           2.06       0.881645       0.120404       0.882735       0.003112       0.882705       0.000230
           2.07       0.877036       0.105738       0.877941       0.002593       0.877962       0.000196
           2.08       0.872427       0.080859       0.873117       0.001842       0.873132       0.000149
           2.09       0.867818       0.045659       0.868206       0.000960       0.868214       0.000081
           2.10       0.863209       0.000008       0.863209       0.000008       0.863209       0.000008
           2.11       0.857738       0.044262       0.858126       0.000970       0.858117       0.000079
           2.12       0.852267       0.078986       0.852957       0.001908       0.852939       0.000146
           2.13       0.846795       0.104091       0.847701       0.002739       0.847676       0.000193
           2.14       0.841324       0.119466       0.842359       0.003405       0.842329       0.000225
           2.15       0.835853       0.124978       0.836931       0.003846       0.836897       0.000235
           2.16       0.830382       0.120503       0.831351       0.003901       0.831382       0.000223
           2.17       0.824910       0.105919       0.825759       0.003201       0.825783       0.000191
           2.18       0.819439       0.081083       0.820085       0.002270       0.820103       0.000140
           2.19       0.813968       0.045829       0.814331       0.001188       0.814340       0.000075
           2.20       0.808496       0.000007       0.808496       0.000007       0.808496       0.000007
           2.21       0.802217       0.044081       0.802581       0.001215       0.802571       0.000070
           2.22       0.795938       0.078750       0.796584       0.002385       0.796564       0.000137
           2.23       0.789659       0.103881       0.790507       0.003425       0.790479       0.000186
           2.24       0.783380       0.119336       0.784349       0.004264       0.784314       0.000228
           2.25       0.777101       0.124969       0.778111       0.004808       0.778071       0.000233
           2.26       0.770822       0.120633       0.771716       0.004784       0.771751       0.000227
           2.27       0.764543       0.106146       0.765325       0.003930       0.765353       0.000200
           2.28       0.758263       0.081338       0.758859       0.002803       0.758880       0.000148
           2.29       0.751984       0.046030       0.752320       0.001465       0.752330       0.000086
           2.30       0.745705       0.000006       0.745705       0.000006       0.745705       0.000014
           2.31       0.738681       0.043881       0.739016       0.001480       0.739005       0.000077
           2.32       0.731657       0.078483       0.732253       0.002919       0.732230       0.000142
           2.33       0.724633       0.103648       0.725415       0.004208       0.725383       0.000196
           2.34       0.717608       0.119202       0.718502       0.005240       0.718463       0.000227
           2.35       0.710584       0.124973       0.711516       0.005927       0.711472       0.000230
           2.36       0.703560       0.120772       0.704370       0.005796       0.704409       0.000219
           2.37       0.696536       0.106404       0.697245       0.004766       0.697276       0.000185
           2.38       0.689512       0.081636       0.690052       0.003390       0.690074       0.000133
           2.39       0.682487       0.046244       0.682791       0.001759       0.682803       0.000074
           2.40       0.675463       0.000017       0.675463       0.000008       0.675463       0.000008
           2.41       0.667764       0.043624       0.668068       0.001835       0.668055       0.000057
           2.42       0.660065       0.078139       0.660605       0.003601       0.660580       0.000125
           2.43       0.652366       0.103340       0.653075       0.005183       0.653040       0.000184
           2.44       0.644667       0.119016       0.645477       0.006466       0.645434       0.000220
           2.45       0.636968       0.124969       0.637811       0.007312       0.637763       0.000220
           2.46       0.629269       0.120948       0.629986       0.007061       0.630029       0.000221
           2.47       0.621570       0.106723       0.622197       0.005826       0.622232       0.000193
           2.48       0.613870       0.082019       0.614349       0.004153       0.614373       0.000146
           2.49       0.606171       0.046549       0.606440       0.002184       0.606453       0.000081
           2.50       0.598472       0.000009       0.598472       0.000001       0.598472       0.000009
           2.51       0.590175       0.043343       0.590444       0.002236       0.590430       0.000086
           2.52       0.581878       0.077745       0.582356       0.004406       0.582330       0.000149
           2.53       0.573581       0.102975       0.574209       0.006367       0.574171       0.000204
           2.54       0.565284       0.118812       0.566001       0.007968       0.565955       0.000225
           2.55       0.556987       0.124981       0.557734       0.009045       0.557682       0.000242
           2.56       0.548690       0.121197       0.549308       0.008694       0.549354       0.000242
           2.57       0.540393       0.107154       0.540933       0.007187       0.540971       0.000212
           2.58       0.532095       0.082520       0.532508       0.005145       0.532534       0.000164
